,city,1901,city.1,1911,city.2,1921,city.3,1931,city.4,1941,city.5,1951,city.6,c1961,city.7,c1971,city.8,c1981,city.9,c1991,city.10,2002,city.11,2011
North Battleford,-1.0,0.0,-1.0,0.0,72.0,4817.0,68.0,6084.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Swift Current,-1.0,0.0,-1.0,0.0,73.0,4204.0,70.0,5351.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Bonavista,-1.0,0.0,-1.0,0.0,75.0,4131.0,75.0,4038.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Harbour Grace,-1.0,0.0,-1.0,0.0,77.0,3837.0,78.0,2270.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Carbonear,-1.0,0.0,-1.0,0.0,78.0,3337.0,76.0,3444.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Burin,-1.0,0.0,-1.0,0.0,81.0,2784.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Kelowna,-1.0,0.0,-1.0,0.0,82.0,2520.0,73.0,4793.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,40.0,80200.0,40.0,100251.0,38.0,125314.0,30.0,155950.0,21.0,186126.0
Trail,-1.0,0.0,-1.0,0.0,-1.0,0.0,63.0,7640.0,83.0,9469.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Yorkton,-1.0,0.0,-1.0,0.0,-1.0,0.0,72.0,5071.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Prince George,-1.0,0.0,-1.0,0.0,-1.0,0.0,77.0,2536.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,64.0,49138.0,60.0,67698.0,74.0,69789.0,73.0,72406.0,42.0,86846.0
Abbotsford,-1.0,0.0,-1.0,0.0,-1.0,0.0,81.0,510.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,85.0,42007.0,52.0,100045.0,31.0,155316.0,22.0,176538.0
Timmins,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,30.0,28833.0,49.0,27611.0,44.0,40125.0,74.0,41514.0,81.0,46148.0,98.0,47460.0,-1.0,0.0,67.0,44315.0
Granby,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,58.0,14279.0,52.0,26167.0,54.0,31520.0,76.0,39395.0,91.0,38190.0,90.0,53430.0,90.0,55460.0,44.0,82445.0
Thetford Mines,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,63.0,12786.0,75.0,19388.0,70.0,25891.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Corner Brook,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,65.0,12571.0,62.0,23125.0,71.0,25445.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Cap-de-la-Madeleine,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,70.0,12035.0,-1.0,0.0,68.0,26915.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Forest Hill,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,71.0,11858.0,76.0,19097.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Victoriaville,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,77.0,10462.0,91.0,16123.0,85.0,21785.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,72.0,41925.0
New Toronto,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,82.0,9584.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
New Waterford,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,84.0,9323.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
North Vancouver,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,88.0,8932.0,74.0,19831.0,79.0,23730.0,98.0,31809.0,62.0,65400.0,-1.0,0.0,61.0,82310.0,-1.0,0.0
Rouyn-Noranda,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,89.0,8803.0,85.0,16875.0,56.0,30203.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Grand'Mere,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,92.0,8627.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Mimico,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,96.0,8140.0,-1.0,0.0,97.0,18260.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Eastview,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,98.0,8040.0,77.0,19073.0,76.0,24693.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
La Tuque,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,99.0,7942.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
North York,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,8.0,168622.0,-1.0,0.0,6.0,504537.0,8.0,559591.0,9.0,562694.0,-1.0,0.0,-1.0,0.0
Scarborough,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,10.0,139181.0,-1.0,0.0,10.0,332153.0,10.0,443446.0,10.0,524616.0,-1.0,0.0,-1.0,0.0
Etobicoke,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,12.0,103104.0,-1.0,0.0,13.0,282232.0,13.0,298727.0,18.0,310071.0,-1.0,0.0,-1.0,0.0
East York,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,19.0,69479.0,-1.0,0.0,31.0,104993.0,37.0,102075.0,50.0,102754.0,-1.0,0.0,-1.0,0.0
Saint John,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,24.0,51906.0,-1.0,0.0,30.0,106704.0,35.0,114012.0,39.0,125068.0,43.0,125856.0,30.0,129827.0
Saanich,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,34.0,38010.0,-1.0,0.0,51.0,65044.0,50.0,78706.0,53.0,95670.0,50.0,103654.0,-1.0,0.0
Jacques-Cartier,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,41.0,33091.0,43.0,40821.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Saint James-Assiniboia,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,51.0,26265.0,-1.0,0.0,48.0,70841.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Richmond,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,53.0,25943.0,-1.0,0.0,56.0,62141.0,42.0,96298.0,36.0,126678.0,27.0,164345.0,-1.0,0.0
Montreal-Nord,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,54.0,25406.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
La Salle,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,79.0,18922.0,-1.0,0.0,46.0,72915.0,53.0,76323.0,66.0,73841.0,-1.0,0.0,-1.0,0.0
East Kildonan,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,80.0,18671.0,64.0,28178.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Leaside,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,87.0,16596.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Mont-Royal,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,93.0,15947.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
West Kildonan,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,96.0,15201.0,87.0,21052.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Pointe-Claire,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,97.0,15199.0,80.0,22893.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Oak Bay,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,98.0,14757.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Rimouski,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,99.0,14300.0,82.0,22452.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,60.0,54630.0
Burlington,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,37.0,47026.0,38.0,86182.0,34.0,114911.0,35.0,129615.0,34.0,150836.0,-1.0,0.0
Sainte-Foy,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,59.0,29724.0,49.0,67813.0,58.0,68978.0,72.0,71162.0,72.0,72547.0,-1.0,0.0
Longueuil,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,78.0,24142.0,34.0,97532.0,31.0,124342.0,34.0,129918.0,41.0,128016.0,-1.0,0.0
Alma,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,90.0,19962.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Transcona,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,95.0,18286.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Laval,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,15.0,228150.0,17.0,268318.0,17.0,314426.0,15.0,343005.0,-1.0,0.0
Mississauga,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,20.0,172433.0,11.0,315121.0,11.0,463443.0,8.0,612925.0,-1.0,0.0
Burnaby,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,26.0,124246.0,30.0,136552.0,29.0,158943.0,22.0,193954.0,-1.0,0.0
Surrey,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,32.0,98604.0,28.0,147140.0,22.0,245237.0,14.0,347825.0,-1.0,0.0
Saint-Leonard,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,60.0,52071.0,49.0,79441.0,68.0,73134.0,77.0,69604.0,-1.0,0.0
Chilliwack,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,62.0,50728.0,65.0,63410.0,62.0,79263.0,55.0,88183.0,39.0,97582.0
Saint-Hubert,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,82.0,36984.0,70.0,60628.0,65.0,74002.0,66.0,75912.0,-1.0,0.0
Markham,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,83.0,36714.0,52.0,77076.0,31.0,153806.0,21.0,208615.0,-1.0,0.0
West Vancouver,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,84.0,36423.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Pointe-aux-Trembles,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,85.0,35662.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Anjou,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,91.0,33919.0,95.0,37387.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Chateauguay,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,92.0,33785.0,96.0,36978.0,-1.0,0.0,-1.0,0.0,52.0,66445.0
Charlesbourg,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,93.0,33408.0,59.0,68381.0,73.0,70825.0,75.0,70310.0,-1.0,0.0
Pierrefonds,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,94.0,33096.0,89.0,38433.0,97.0,48776.0,91.0,54963.0,-1.0,0.0
Pickering,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,99.0,31749.0,93.0,37826.0,77.0,68459.0,57.0,87139.0,-1.0,0.0
Gatineau,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,55.0,75058.0,55.0,92352.0,51.0,102898.0,-1.0,0.0
Delta,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,56.0,74792.0,56.0,89025.0,53.0,96950.0,-1.0,0.0
Beauport,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,71.0,60494.0,75.0,69219.0,71.0,72813.0,-1.0,0.0
Brossard,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,77.0,52290.0,80.0,64869.0,82.0,65026.0,-1.0,0.0
Dollard-des-Ormeaux,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,87.0,39949.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
Stoney Creek,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,97.0,36828.0,94.0,50015.0,-1.0,0.0,-1.0,0.0
Vaughan,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,47.0,111460.0,24.0,182022.0,-1.0,0.0
Gloucester,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,48.0,110781.0,-1.0,0.0,-1.0,0.0
Nepean,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,49.0,107675.0,-1.0,0.0,-1.0,0.0
Coquitlam,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,58.0,84007.0,46.0,112890.0,-1.0,0.0
Chatmam,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,64.0,74191.0,-1.0,0.0,-1.0,0.0
Ajax,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,88.0,57446.0,70.0,73753.0,-1.0,0.0
Repentigny,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,95.0,49663.0,93.0,54550.0,-1.0,0.0
St. Catharines,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,40.0,129170.0,-1.0,0.0
Cape Breton,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,49.0,105968.0,35.0,103116.0
Langley,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,58.0,86896.0,-1.0,0.0
LaSalle,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,69.0,73983.0,-1.0,0.0
Strathcona County,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,74.0,71986.0,-1.0,0.0
Clarington,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,76.0,69834.0,-1.0,0.0
Kawartha Lakes,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,78.0,69179.0,-1.0,0.0
Maple Ridge,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,83.0,63169.0,-1.0,0.0
Norfolk,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,86.0,60847.0,-1.0,0.0
St. Albert,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,94.0,53081.0,-1.0,0.0
Port Coquitlam,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,96.0,51257.0,-1.0,0.0
Caledon,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,97.0,50595.0,-1.0,0.0
White Rock,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,43.0,85062.0
Milton,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,48.0,75880.0
Fort McMurray,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,53.0,60555.0
Vernon,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,56.0,60123.0
Grande Prairie,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,58.0,55236.0
Leamington,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,61.0,50625.0
Beloeil,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,62.0,48688.0
Courtenay,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,68.0,43346.0
Penticton,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,69.0,43218.0
Airdrie,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,71.0,42844.0
Georgetown,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,74.0,40185.0
Midland,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,77.0,36137.0
Sorel-Tracy,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,78.0,35770.0
Bowmanville-Newcastle,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,79.0,35168.0
Campbell River,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,80.0,33448.0
Orangeville,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,84.0,29007.0
Spruce Grove,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,85.0,27970.0
Lloydminster,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,86.0,27769.0
Bolton,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,87.0,27108.0
Keswick-Elmhurst Beach,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,88.0,26002.0
Val-dOr,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,89.0,25023.0
Saint-Georges,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,90.0,24940.0
Stouffville,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,91.0,24654.0
Okotoks,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,92.0,24470.0
Quispamsis-Rothesay,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,93.0,23862.0
Leduc,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,94.0,23827.0
Bradford,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,95.0,23024.0
Innisfil,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,96.0,20365.0
Cochrane,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,99.0,17433.0
